gene.ID,geneID_UCSC,gene.name,chrom,strand,Tx.start,Tx.end,TSS
mm10-7482,NM_144811,Cbx7,chr15,-,79915806,79932646,79932646
mm10-7483,NM_011057,Pdgfb,chr15,-,79995875,80014808,80014808
mm10-7484,NR_106072,Mir7213,chr15,-,79998969,79999026,79999026
mm10-7485,NM_013762,Rpl3,chr15,-,80077780,80083406,80083406
mm10-7486,NR_028282,Snord83b,chr15,-,80078502,80078579,80078579
mm10-7487,NR_028281,Snord43,chr15,-,80082858,80082906,80082906
mm10-7488,"NM_207708,NM_009303",Syngr1,chr15,+,80091333,80119501,80091333
mm10-7489,NM_025609,Tab1,chr15,+,80133153,80161702,80133153
mm10-7490,NM_010795,Mgat3,chr15,+,80173720,80215519,80173720
mm10-7491,NM_178719,Mief1,chr15,+,80234079,80253371,80234079
mm10-7492,"NM_009716,NM_001287180",Atf4,chr15,+,80255183,80257545,80255183
mm10-7493,NM_175109,Rps19bp1,chr15,-,80260613,80264306,80264306
mm10-7494,NM_001044308,Cacna1i,chr15,+,80287237,80398292,80287237
mm10-7495,NM_001163189,Enthd1,chr15,-,80452239,80560470,80560470
mm10-7496,"NM_010815,NM_001289442",Grap2,chr15,+,80572596,80652854,80572596
mm10-7497,NR_105922,Mir6957,chr15,+,80646072,80646136,80646072
mm10-7498,NM_145986,Fam83f,chr15,+,80671846,80700425,80671846
mm10-7499,"NR_045309,NR_045310",A430088P11Rik,chr15,-,80691024,80697610,80697610
mm10-7500,"NM_177124,NM_144812",Tnrc6b,chr15,+,80711312,80941086,80711312
mm10-7501,NR_039573,Mir5113,chr15,+,80940038,80940120,80940038
mm10-7502,NM_009634,Adsl,chr15,+,80948489,80970947,80948489
mm10-7503,NM_134091,Sgsm3,chr15,+,80977764,81012290,80977764
mm10-7504,"NM_001082536,NM_153049",Mkl1,chr15,-,81012280,81190757,81190757
mm10-7505,NR_015603,4930483J18Rik,chr15,+,81190852,81192757,81190852
mm10-7506,NM_145132,Mchr1,chr15,+,81235498,81238964,81235498
mm10-7507,"NR_077231,NR_077229,NR_077230",8430426J06Rik,chr15,-,81242653,81251862,81251862
mm10-7508,NM_011399,Slc25a17,chr15,-,81318920,81360765,81360765
mm10-7509,NM_133726,St13,chr15,-,81365043,81399694,81399694
mm10-7510,NM_177310,Xpnpep3,chr15,+,81400187,81454888,81400187
mm10-7511,NM_021317,Dnajb7,chr15,-,81407087,81408273,81408273
mm10-7512,NM_019712,Rbx1,chr15,+,81466315,81476369,81466315
mm10-7513,NM_177821,Ep300,chr15,+,81586213,81652077,81586213
mm10-7514,"NM_145993,NM_001289711,NR_110362,NM_001289712",L3mbtl2,chr15,+,81663888,81688315,81663888
mm10-7515,NM_001164320,Chadl,chr15,-,81686166,81697287,81697287
mm10-7516,"NM_011241,NM_001146174",Rangap1,chr15,-,81704247,81729919,81729919
mm10-7517,NM_001081016,Zc3h7b,chr15,+,81744847,81796269,81744847
mm10-7518,"NM_017376,NM_153484",Tef,chr15,+,81802672,81826863,81802672
mm10-7519,NM_020507,Tob2,chr15,-,81848269,81858326,81858326
mm10-7520,NM_026737,Phf5a,chr15,-,81864515,81871892,81871892
mm10-7521,NM_080633,Aco2,chr15,+,81872462,81915137,81872462
mm10-7522,NM_030229,Polr3h,chr15,-,81915029,81926213,81926213
mm10-7523,NM_145473,Csdc2,chr15,+,81936758,81950941,81936758
mm10-7524,"NM_001282041,NM_001282040,NM_013872",Pmm1,chr15,-,81951105,81960930,81960930
mm10-7525,NM_025503,1700029P11Rik,chr15,+,81980539,81981563,81980539
mm10-7526,NM_134095,Desi1,chr15,-,81992522,82016140,82016140
mm10-7527,NM_010247,Xrcc6,chr15,+,82016368,82040084,82016368
mm10-7528,NM_011482,Nhp2l1,chr15,-,82041344,82047598,82047598
mm10-7529,NM_001166475,4930407I10Rik,chr15,+,82059150,82066538,82059150
mm10-7530,"NM_028897,NM_001310435",Mei1,chr15,+,82070116,82126814,82070116
mm10-7531,"NR_137170,NM_001326588,NM_172428",Ccdc134,chr15,+,82127921,82142202,82127921
mm10-7532,NM_033218,Srebf2,chr15,+,82147268,82204960,82147268
mm10-7533,NR_029804,Mir33,chr15,+,82198121,82198190,82198121
mm10-7534,NM_001207021,Shisa8,chr15,-,82206951,82212815,82212815
mm10-7535,NM_028075,Tnfrsf13c,chr15,-,82221743,82224336,82224336
mm10-7536,"NM_025639,NM_001080158,NM_178269",Cenpm,chr15,-,82233775,82244747,82244747
mm10-7537,"NR_037698,NR_037697",1500009C09Rik,chr15,+,82252396,82260753,82252396
mm10-7538,NM_011889,Sept3,chr15,+,82274934,82294442,82274934
mm10-7539,NM_029066,Wbp2nl,chr15,+,82298983,82314558,82298983
mm10-7540,NM_008669,Naga,chr15,-,82329531,82338826,82338826
mm10-7541,NM_177391,Fam109b,chr15,+,82341178,82345710,82341178
mm10-7542,NM_026914,Smdt1,chr15,+,82346045,82349062,82346045
mm10-7543,NM_025987,Ndufa6,chr15,-,82350138,82354291,82354291
mm10-7544,"NM_019823,NM_001163472",Cyp2d22,chr15,-,82370526,82380260,82380260
mm10-7545,NM_001104531,Cyp2d11,chr15,-,82389153,82394022,82394022
mm10-7546,NR_106153,Mir7684,chr15,-,82393918,82393978,82393978
mm10-7547,NM_010005,Cyp2d10,chr15,-,82402845,82407194,82407194
mm10-7548,NM_010006,Cyp2d9,chr15,+,82452376,82456827,82452376
mm10-7549,NM_201360,Cyp2d12,chr15,+,82555097,82559413,82555097
mm10-7550,NM_145474,Cyp2d34,chr15,-,82615964,82620907,82620907
mm10-7551,NR_003552,Cyp2d13,chr15,-,82636749,82642045,82642045
mm10-7552,NR_033515,Cyp2d37-ps,chr15,-,82688749,82690058,82690058
mm10-7553,NM_023623,Cyp2d40,chr15,-,82759832,82764122,82764122
mm10-7554,NM_029562,Cyp2d26,chr15,-,82790106,82794245,82794245
mm10-7555,"NM_001114140,NM_013836",Tcf20,chr15,-,82808625,82912134,82912134
mm10-7556,NR_027799,Tbrg3,chr15,-,82890482,82898461,82898461
mm10-7557,NR_045068,Gm20324,chr15,+,82899079,82905816,82899079
mm10-7558,NR_037241,Mir3080,chr15,-,82959217,82959296,82959296
mm10-7559,"NM_001271411,NM_028728,NM_001271413,NM_001271412,NM_001271414",Nfam1,chr15,-,82996735,83033397,83033397
mm10-7560,NM_023475,Serhl,chr15,+,83100204,83116671,83100204
mm10-7561,NM_029101,Rrp7a,chr15,-,83115845,83122801,83122801
mm10-7562,NM_178627,Poldip3,chr15,-,83125977,83149336,83149336
mm10-7563,NR_004432,Rnu12,chr15,+,83149644,83149794,83149644
mm10-7564,NM_029787,Cyb5r3,chr15,-,83153500,83172208,83172208
mm10-7565,"NM_001170954,NM_001004150",A4galt,chr15,-,83226721,83251774,83251774
mm10-7566,NM_025445,Arfgap3,chr15,-,83299739,83350247,83350247
mm10-7567,NR_027980,1700001L05Rik,chr15,-,83353846,83367297,83367297
mm10-7568,"NM_001159509,NM_001159510,NM_011862",Pacsin2,chr15,-,83375606,83464606,83464606
mm10-7569,NM_178869,Ttll1,chr15,-,83483768,83510907,83510907
mm10-7570,NM_007546,Bik,chr15,+,83526861,83544635,83526861
mm10-7571,NM_001030014,Mcat,chr15,-,83546796,83555711,83555711
mm10-7572,NM_009775,Tspo,chr15,+,83563572,83574203,83563572
mm10-7573,NM_183017,Ttll12,chr15,-,83575093,83595157,83595157
mm10-7574,"NM_001271473,NM_001271472,NM_022723",Scube1,chr15,-,83602582,83725039,83725039
mm10-7575,NM_172610,Mpped1,chr15,+,83780022,83858474,83780022
mm10-7576,"NM_001161629,NM_001161628,NM_029946",Efcab6,chr15,-,83866711,84065349,84065349
mm10-7577,NM_013873,Sult4a1,chr15,-,84076096,84105754,84105754
mm10-7578,NM_029427,Pnpla5,chr15,-,84112620,84123175,84123175
mm10-7579,NM_054088,Pnpla3,chr15,+,84167815,84189521,84167815
mm10-7580,NR_105816,Mir6392,chr15,+,84168269,84168377,84168269
mm10-7581,NM_178614,Samm50,chr15,+,84192232,84214303,84192232
mm10-7582,NM_133167,Parvb,chr15,+,84232042,84315609,84232042
mm10-7583,"NM_001162500,NM_022321",Parvg,chr15,+,84324719,84342978,84324719
mm10-7584,NM_001163145,1810041L15Rik,chr15,-,84379202,84447097,84447097
mm10-7585,NM_177630,Ldoc1l,chr15,-,84553397,84557823,84557823
mm10-7586,NM_146061,Prr5,chr15,+,84680997,84703673,84680997
mm10-7587,NR_040347,Gm20556,chr15,-,84714628,84720266,84720266
mm10-7588,"NM_028455,NM_001164628,NM_001164627,NM_001205334",Arhgap8,chr15,+,84720051,84772207,84720051
mm10-7589,"NM_001081166,NR_030731",Phf21b,chr15,-,84785375,84856129,84856129
mm10-7590,NM_016714,Nup50,chr15,+,84923427,84942963,84923427
mm10-7591,NM_001033273,5031439G07Rik,chr15,-,84945719,84987971,84987971
mm10-7592,NR_037206,Mir1249,chr15,-,84951525,84951623,84951623
mm10-7593,NM_023478,Upk3a,chr15,+,85017140,85022560,85017140
mm10-7594,NM_133750,Fam118a,chr15,+,85037061,85062830,85037061
mm10-7595,NM_080470,Smc1b,chr15,-,85064688,85131957,85131957
mm10-7596,NM_026357,Ribc2,chr15,+,85132098,85144569,85132098
mm10-7597,NR_040360,Gm19277,chr15,-,85149253,85156132,85156132
mm10-7598,NM_010180,Fbln1,chr15,+,85206007,85286294,85206007
mm10-7599,NM_016843,Atxn10,chr15,+,85336380,85463836,85336380
mm10-7600,NM_001256072,7530416G11Rik,chr15,-,85492735,85503227,85503227
mm10-7601,"NM_009528,NM_001163634,NM_001163633",Wnt7b,chr15,-,85535436,85581821,85581821
mm10-7602,NR_040433,AU022754,chr15,+,85581141,85593708,85581141
mm10-7603,NR_110483,Lncppara,chr15,+,85703772,85707524,85703772
mm10-7604,NR_029729,Mirlet7c-2,chr15,+,85706602,85706697,85706602
mm10-7605,NR_029727,Mirlet7b,chr15,+,85707318,85707403,85707318
mm10-7606,"NM_011144,NM_001113418",Ppara,chr15,+,85735563,85806851,85735563
mm10-7607,"NM_197998,NM_001164626,NM_001164625",Cdpf1,chr15,-,85806971,85811697,85811697
mm10-7608,NM_011105,Pkdrej,chr15,-,85814675,85821733,85821733
mm10-7609,NM_001033337,Ttc38,chr15,+,85832303,85858822,85832303
mm10-7610,"NM_013882,NM_001168672",Gtse1,chr15,+,85859706,85876573,85859706
mm10-7611,NM_028063,Trmu,chr15,+,85879326,85897393,85879326
mm10-7612,NM_009886,Celsr1,chr15,-,85898757,86033777,86033777
mm10-7613,"NM_001205353,NM_172611",Gramd4,chr15,+,86057694,86137636,86057694
mm10-7614,NM_145475,Cerk,chr15,-,86139100,86186141,86186141
mm10-7615,NM_145476,Tbc1d22a,chr15,+,86214458,86498503,86214458
mm10-7616,"NM_001252310,NM_134096",Fam19a5,chr15,+,87544298,87759364,87544298
mm10-7617,NR_105817,Mir6393,chr15,-,87795849,87795943,87795943
mm10-7618,NR_045281,B230214G05Rik,chr15,+,88314873,88372651,88314873
mm10-7619,NM_027306,Zdhhc25,chr15,+,88600301,88601669,88600301
mm10-7620,NM_001033274,Brd1,chr15,-,88687034,88734219,88734219
mm10-7621,NM_181412,Zbed4,chr15,+,88751710,88784516,88751710
mm10-7622,"NM_001142357,NM_145477",Alg12,chr15,-,88805242,88819318,88819318
mm10-7623,NM_029720,Creld2,chr15,+,88819645,88826681,88819645
mm10-7624,NM_145478,Pim3,chr15,+,88862193,88865726,88862193
mm10-7625,NM_172818,Ttll8,chr15,-,88913897,88954418,88954418
mm10-7626,NM_133241,Mlc1,chr15,-,88955883,88978553,88978553
mm10-7627,NM_031260,Mov10l1,chr15,+,88982993,89055152,88982993
mm10-7628,NM_001002005,Panx2,chr15,+,89059725,89070907,89059725
mm10-7629,NR_040417,1810021B22Rik,chr15,-,89071197,89075854,89075854
mm10-7630,NM_026485,Trabd,chr15,+,89076063,89087075,89076063
mm10-7631,NM_027905,Selo,chr15,+,89089106,89100340,89089106
mm10-7632,NM_001163319,Tubgcp6,chr15,-,89099097,89123150,89123150
mm10-7633,"NM_199198,NR_028449,NR_028448,NR_028447",Hdac10,chr15,-,89123302,89128700,89128700
mm10-7634,NM_013871,Mapk12,chr15,-,89130583,89140703,89140703
mm10-7635,NM_011161,Mapk11,chr15,-,89142483,89149606,89149606
mm10-7636,"NM_001284506,NM_001159521,NM_138749",Plxnb2,chr15,-,89155545,89180788,89180788
mm10-7637,NR_106066,Mir7118,chr15,-,89162847,89162908,89162908
mm10-7638,NM_027081,Dennd6b,chr15,-,89182212,89196474,89196474
mm10-7639,NR_105923,Mir6958,chr15,-,89185464,89185537,89185537
mm10-7640,"NM_027805,NM_026813",Ppp6r2,chr15,+,89211558,89286261,89211558
mm10-7641,"NM_001081030,NM_001170561",Sbf1,chr15,-,89288235,89315311,89315311
mm10-7642,NR_105924,Mir6959,chr15,-,89305657,89305732,89305732
mm10-7643,NM_182928,Adm2,chr15,+,89322719,89324730,89322719
mm10-7644,NM_019977,Miox,chr15,+,89334472,89337007,89334472
mm10-7645,NM_178919,Lmf2,chr15,-,89351003,89355659,89355659
mm10-7646,"NM_001271601,NM_001115132,NR_073376,NM_001271600",Ncaph2,chr15,+,89355718,89372850,89355718
mm10-7647,NM_001111288,Sco2,chr15,-,89371636,89373818,89373818
mm10-7648,NM_138302,Tymp,chr15,-,89371930,89377037,89377037
mm10-7649,NM_001013022,Odf3b,chr15,-,89377448,89379254,89379254
mm10-7650,NM_001160178,Klhdc7b,chr15,+,89386890,89388708,89386890
mm10-7651,"NM_001162882,NM_001162880",Syce3,chr15,-,89390173,89410503,89410503
mm10-7652,NM_009948,Cpt1b,chr15,-,89416404,89425862,89425862
mm10-7653,NR_004843,Gm44502,chr15,-,89416404,89429927,89429927
mm10-7654,"NM_007692,NR_037154,NR_037153",Chkb,chr15,-,89426348,89429927,89429927
mm10-7655,NM_021921,Mapk8ip2,chr15,+,89453910,89462447,89453910
mm10-7656,NM_009713,Arsa,chr15,-,89472475,89477424,89477424
mm10-7657,NR_077233,C230037L18Rik,chr15,+,89476251,89484850,89476251
mm10-7658,NM_021423,Shank3,chr15,+,89499856,89560260,89499856
mm10-7659,"NM_013455,NM_001277247,NM_001277246,NM_001277245,NM_001205049",Acr,chr15,+,89568325,89574585,89568325
mm10-7660,NM_026817,Rabl2,chr15,-,89582526,89591923,89591923
mm10-7661,NM_018803,Syt10,chr15,-,89782392,89841860,89841860
mm10-7662,NM_001033441,Alg10b,chr15,+,90224310,90230554,90224310
mm10-7663,NR_106106,Mir7648,chr15,+,90224359,90224412,90224359
mm10-7664,"NM_025815,NM_001033851",Cpne8,chr15,-,90487480,90679388,90679388
mm10-7665,NR_033583,Spn-ps,chr15,-,90891395,90898476,90898476
mm10-7666,"NM_001109042,NM_001109041,NM_016705,NM_001109040",Kif21a,chr15,-,90933274,91049951,91049951
mm10-7667,NM_011994,Abcd2,chr15,-,91145870,91191807,91191807
mm10-7668,NM_001033633,Slc2a13,chr15,-,91267690,91573261,91573261
mm10-7669,NM_025730,Lrrk2,chr15,+,91673223,91816124,91673223
mm10-7670,NM_207243,Muc19,chr15,+,91838325,91934555,91838325
mm10-7671,NM_198927,Smgc,chr15,+,91838327,91861435,91838327
mm10-7672,"NM_001159648,NM_001159647,NM_007727",Cntn1,chr15,+,92051164,92341967,92051164
mm10-7673,"NM_001164594,NM_001164593",Pdzrn4,chr15,+,92396809,92771819,92396809
mm10-7674,NM_001033275,Gxylt1,chr15,-,93239741,93275084,93275084
mm10-7675,"NM_024189,NR_028315",Yaf2,chr15,-,93283832,93336935,93336935
mm10-7676,NM_026025,Zcrb1,chr15,-,93386112,93398290,93398290
mm10-7677,"NM_146062,NM_001285864,NM_001285863,NM_175363,NM_001083114",Pphln1,chr15,+,93398349,93491912,93398349
mm10-7678,NM_001033217,Prickle1,chr15,-,93499113,93595891,93595891
mm10-7679,NR_045737,9430014N10Rik,chr15,-,93904855,93927111,93927111
mm10-7680,NR_045629,D630010B17Rik,chr15,+,94247201,94255606,94247201
mm10-7681,"NM_001164785,NM_001164786,NM_177431",Adamts20,chr15,-,94268320,94404350,94404350
mm10-7682,NM_172437,Pus7l,chr15,-,94522639,94543507,94543507
mm10-7683,NM_029926,Irak4,chr15,+,94543659,94568316,94543659
mm10-7684,NM_008971,Twf1,chr15,-,94577947,94589824,94589824
mm10-7685,NM_178789,Tmem117,chr15,+,94629184,95096097,94629184
mm10-7686,NR_015482,LOC100043315,chr15,-,95097621,95149318,95149318
mm10-7687,NM_001289653,Nell2,chr15,-,95219439,95528252,95528252
mm10-7688,NM_207533,Dbx2,chr15,-,95623562,95654771,95654771
mm10-7689,NR_131148,Gm6961,chr15,-,95747246,95751591,95751591
mm10-7690,"NM_001253813,NM_175344",Ano6,chr15,+,95790842,95975472,95790842
mm10-7691,"NR_126492,NR_126493",D030018L15Rik,chr15,-,96051615,96079553,96079553
mm10-7692,NR_028311,Gm4371,chr15,+,96182799,96203470,96182799
mm10-7693,NR_040423,2610037D02Rik,chr15,-,96190473,96197974,96197974
mm10-7694,NR_130160,4833422M21Rik,chr15,-,96231869,96254684,96254684
mm10-7695,NR_030690,E330033B04Rik,chr15,-,96268563,96275275,96275275
mm10-7696,NM_175251,Arid2,chr15,+,96287521,96405463,96287521
mm10-7697,NM_028148,Scaf11,chr15,-,96411697,96460843,96460843
mm10-7698,"NM_001166456,NM_001166458,NM_134086",Slc38a1,chr15,-,96571417,96642913,96642913
mm10-7699,NM_175121,Slc38a2,chr15,-,96687391,96699698,96699698
mm10-7700,NM_027052,Slc38a4,chr15,-,96994822,97055956,97055956
mm10-7701,"NM_178114,NM_001164602,NM_001164563",Amigo2,chr15,-,97244073,97247287,97247287
mm10-7702,NM_172293,Pced1b,chr15,+,97247106,97385691,97247106
mm10-7703,NM_028003,Rpap3,chr15,-,97675104,97705822,97705822
mm10-7704,"NM_008902,NM_001168693",Endou,chr15,-,97711018,97731405,97731405
mm10-7705,"NM_001177810,NM_144850,NM_001177811",Rapgef3,chr15,-,97744769,97767666,97767666
mm10-7706,NM_026353,Slc48a1,chr15,+,97784364,97792692,97784364
mm10-7707,"NM_001204276,NM_001204280,NM_001204278,NM_019572,NM_001204281,NM_001204279,NM_001204277,NM_001204275",Hdac7,chr15,-,97792663,97844502,97844502
mm10-7708,NM_009504,Vdr,chr15,-,97854426,97908296,97908296
mm10-7709,"NM_201359,NM_001252153",Tmem106c,chr15,+,97964228,97970286,97964228
mm10-7710,"NM_001113515,NM_031163",Col2a1,chr15,-,97975601,98004724,98004724
mm10-7711,NM_144851,Senp1,chr15,-,98038743,98093569,98093569
mm10-7712,"NM_021514,NM_001163487,NM_001163488",Pfkm,chr15,+,98092588,98132447,98092588
mm10-7713,"NM_001170711,NM_001170710,NM_030121",Asb8,chr15,-,98134639,98165578,98165578
mm10-7714,NM_177716,Ccdc184,chr15,+,98167805,98170134,98167805
mm10-7715,NM_001011733,Olfr288,chr15,-,98186012,98195542,98195542
mm10-7716,NM_001011780,Olfr287,chr15,-,98206970,98221056,98221056
mm10-7717,NM_001011779,Olfr286,chr15,-,98226674,98234450,98234450
mm10-7718,NM_027304,H1fnt,chr15,-,98255981,98257307,98257307
mm10-7719,NM_173769,Zfp641,chr15,-,98286121,98296083,98296083
mm10-7720,NM_001011778,Olfr285,chr15,-,98312588,98313548,98313548
mm10-7721,NM_207554,Olfr257,chr15,-,98312588,98313548,98313548
mm10-7722,NM_146281,Olfr284,chr15,-,98340021,98340939,98340939
mm10-7723,NM_147036,Olfr283,chr15,-,98378178,98379108,98379108
mm10-7724,NR_015496,1700031M16Rik,chr15,+,98398444,98416135,98398444
mm10-7725,NM_146457,Olfr282,chr15,+,98437469,98438397,98437469
mm10-7726,NM_146280,Olfr281,chr15,+,98456311,98457247,98456311
mm10-7727,NM_010679,Lalba,chr15,-,98480399,98482683,98482683
mm10-7728,NM_001001807,Olfr279,chr15,+,98497473,98498406,98497473
mm10-7729,"NM_001289439,NM_001289440,NM_001289438,NM_001289437,NM_133714",Kansl2,chr15,-,98517657,98534269,98534269
mm10-7730,NR_034051,Snora34,chr15,-,98519716,98519834,98519834
mm10-7731,NR_106171,Mir1291,chr15,-,98519761,98519878,98519878
mm10-7732,NR_034052,Snora2b,chr15,-,98526347,98526459,98526459
mm10-7733,NM_009833,Ccnt1,chr15,-,98543210,98567636,98567636
mm10-7734,NR_028442,9330020H09Rik,chr15,+,98567323,98570864,98567323
mm10-7735,NM_001201322,4930415O20Rik,chr15,+,98571003,98589588,98571003
mm10-7736,NM_007405,Adcy6,chr15,-,98589985,98607633,98607633
mm10-7737,"NM_001286226,NM_007581,NM_001044741",Cacnb3,chr15,+,98632327,98644536,98632327
mm10-7738,NM_001080981,Ddx23,chr15,-,98645506,98662889,98662889
mm10-7739,NM_172612,Rnd1,chr15,-,98669204,98677461,98677461
mm10-7740,NM_153518,Ccdc65,chr15,+,98708226,98723333,98708226
mm10-7741,NM_024169,Fkbp11,chr15,-,98724367,98728198,98728198
mm10-7742,NM_007478,Arf3,chr15,-,98737625,98763118,98763118
mm10-7743,NM_011718,Wnt10b,chr15,-,98771751,98778150,98778150
mm10-7744,NM_021279,Wnt1,chr15,+,98789856,98793830,98789856
mm10-7745,NM_001013741,Ddn,chr15,-,98803781,98807925,98807925
mm10-7746,NM_016781,Prkag1,chr15,-,98812796,98831508,98831508
mm10-7747,NM_001033276,Kmt2d,chr15,-,98831668,98871205,98871205
mm10-7748,NM_026967,Rhebl1,chr15,-,98877759,98881414,98881414
mm10-7749,NM_007857,Dhh,chr15,-,98891154,98898540,98898540
mm10-7750,NM_029098,Lmbr1l,chr15,-,98903920,98918098,98918098
mm10-7751,NM_011654,Tuba1b,chr15,-,98931430,98934390,98934390
mm10-7752,NM_011653,Tuba1a,chr15,-,98949846,98953501,98953501
mm10-7753,NR_045991,4930578M01Rik,chr15,+,98985964,98989281,98985964
mm10-7754,NM_009448,Tuba1c,chr15,+,99029890,99038105,99029890
mm10-7755,"NM_001163588,NM_001163589,NM_013639",Prph,chr15,+,99055173,99058978,99055173
mm10-7756,"NM_001162506,NM_030159",Troap,chr15,+,99074972,99083409,99074972
mm10-7757,NR_105925,Mir6960,chr15,+,99080804,99080865,99080804
mm10-7758,NM_001024702,C1ql4,chr15,-,99084753,99087728,99087728
mm10-7759,NM_176835,Dnajc22,chr15,+,99099483,99104707,99099483
mm10-7760,NM_139140,Spats2,chr15,+,99126844,99212466,99126844
mm10-7761,NM_010601,Kcnh3,chr15,+,99224975,99242817,99224975
mm10-7762,"NM_001164156,NM_016766",Mcrs1,chr15,-,99242816,99251961,99251961
mm10-7763,NR_045627,1700120C14Rik,chr15,+,99251787,99262041,99251787
mm10-7764,NM_001081254,Fam186b,chr15,-,99271017,99287180,99287180
mm10-7765,NM_018786,Prpf40b,chr15,+,99295408,99317007,99295408
mm10-7766,"NM_011711,NM_001310622,NM_001310623",Fmnl3,chr15,-,99317211,99370482,99370482
mm10-7767,"NM_026669,NM_001171036,NM_001171035,NM_001171034",Tmbim6,chr15,+,99392946,99410049,99392946
mm10-7768,NM_001001884,Nckap5l,chr15,-,99422033,99457748,99457748
mm10-7769,NM_029236,Bcdin3d,chr15,-,99470083,99474730,99474730
mm10-7770,"NM_028224,NM_001038658",Faim2,chr15,-,99497004,99528165,99528165
mm10-7771,NM_009699,Aqp2,chr15,+,99579055,99584545,99579055
mm10-7772,NM_009701,Aqp5,chr15,+,99591027,99594829,99591027
mm10-7773,NM_175087,Aqp6,chr15,+,99601399,99605477,99601399
mm10-7774,"NM_012025,NM_001253808,NM_001253809",Racgap1,chr15,-,99620495,99651656,99651656
mm10-7775,"NM_009597,NM_001289791",Asic1,chr15,+,99670717,99701130,99670717
mm10-7776,NM_031842,Smarcd1,chr15,+,99702286,99713995,99702286
mm10-7777,NM_010271,Gpd1,chr15,+,99717592,99725007,99717592
mm10-7778,NM_183256,Cox14,chr15,+,99725617,99728136,99725617
mm10-7779,NM_028015,Cers5,chr15,-,99735591,99772515,99772515
mm10-7780,"NM_001113545,NM_023063",Lima1,chr15,-,99778467,99875456,99875456
mm10-7781,NM_028180,1700030F18Rik,chr15,-,99918347,99931658,99931658
mm10-7782,"NM_001284521,NM_001024526,NM_001080948,NM_001284522,NM_001284523",Larp4,chr15,+,99970064,100016358,99970064
mm10-7783,NR_028124,2310068J16Rik,chr15,-,99972166,99973287,99973287
mm10-7784,"NM_001159361,NM_172819",Dip2b,chr15,+,100038663,100219473,100038663
mm10-7785,NM_007497,Atf1,chr15,+,100227858,100261248,100227858
mm10-7786,NM_183109,Tmprss12,chr15,+,100280836,100293053,100280836
mm10-7787,NM_027334,Mettl7a1,chr15,+,100304816,100314348,100304816
mm10-7788,NM_001081471,Mettl7a3,chr15,+,100334928,100340169,100334928
mm10-7789,NM_199477,Mettl7a2,chr15,+,100353199,100361819,100353199
mm10-7790,NM_001024672,Methig1,chr15,+,100353199,100384435,100353199
mm10-7791,NM_001002900,Higd1c,chr15,+,100364584,100383955,100364584
mm10-7792,"NM_008732,NM_001146161",Slc11a2,chr15,-,100387899,100423055,100423055
mm10-7793,NR_040351,Gm5475,chr15,+,100423192,100428150,100423192
mm10-7794,NM_134093,Letmd1,chr15,+,100469033,100479252,100469033
mm10-7795,NM_153407,Csrnp2,chr15,-,100479569,100495239,100495239
mm10-7796,"NM_001289603,NM_033476",Tfcp2,chr15,-,100502747,100552008,100552008
mm10-7797,"NM_010127,NM_001304965",Pou6f1,chr15,-,100575317,100599984,100599984
mm10-7798,NR_045701,C330013E15Rik,chr15,-,100614139,100615110,100615110
mm10-7799,NM_011873,Dazap2,chr15,+,100615661,100620761,100615661
mm10-7800,"NM_001285414,NM_001285413,NM_001033872,NR_104338,NR_104337,NM_174992",Smagp,chr15,-,100621339,100636940,100636940
mm10-7801,NM_001270537,Bin2,chr15,-,100641081,100669500,100669500
mm10-7802,NR_105926,Mir6961,chr15,-,100649162,100649229,100649229
mm10-7803,NM_033612,Cela1,chr15,-,100674421,100687920,100687920
mm10-7804,"NM_001161768,NM_001161767,NM_172451",Galnt6,chr15,-,100689914,100729376,100729376
mm10-7805,"NR_045782,NR_045781",I730030J21Rik,chr15,-,100730504,100732737,100732737
mm10-7806,NM_021530,Slc4a8,chr15,+,100761746,100823971,100761746
mm10-7807,"NM_011323,NM_001077499",Scn8a,chr15,+,100870644,101045938,100870644
mm10-7808,NM_001214911,Fignl2,chr15,-,101050191,101054399,101054399
mm10-7809,NM_144790,Ankrd33,chr15,+,101115754,101120024,101115754
mm10-7810,"NM_009612,NM_001277255,NM_001277259,NM_001277258,NM_001277257",Acvrl1,chr15,+,101128521,101145336,101128521
mm10-7811,NM_007395,Acvr1b,chr15,+,101174124,101212601,101174124
mm10-7812,NR_105927,Mir6962,chr15,+,101193868,101193931,101193868
mm10-7813,"NR_045328,NR_045327,NR_045326",A330009N23Rik,chr15,-,101221190,101225186,101225186
mm10-7814,NR_045996,AU021063,chr15,+,101221246,101222155,101221246
mm10-7815,NM_019518,Grasp,chr15,+,101224206,101232756,101224206
mm10-7816,NM_010444,Nr4a1,chr15,+,101266845,101274794,101266845
mm10-7817,NM_026566,Atg101,chr15,+,101284300,101290934,101284300
mm10-7818,NR_033803,6030408B16Rik,chr15,+,101293211,101297426,101293211
mm10-7819,NM_028770,Krt80,chr15,-,101349570,101370125,101370125
mm10-7820,NR_035462,Mir1941,chr15,+,101369351,101369434,101369351
mm10-7821,NM_033073,Krt7,chr15,+,101412402,101427806,101412402
mm10-7822,NM_016879,Krt85,chr15,-,101431013,101491303,101491303
mm10-7823,NM_001003668,Krt87,chr15,-,101431489,101438804,101438804
mm10-7824,NM_025487,Krt88,chr15,+,101447744,101453909,101447744
