tSNE1	tSNE2	cluster	cell_id
16.15	-9.88	Mono-1	Exp100-Sample10.all_Tn5-GTCGGC_BC11674_N02
21.23	9.18	proB	Exp100-Sample10.all_Tn5-GTCGGC_BC11740_N04
20.78	-16.96	Mono-2	Exp100-Sample10.all_Tn5-GTCGGC_BC11832_N03
-23.84	-1.01	CD4	Exp100-Sample10.all_Tn5-GTCGGC_BC11949_N04
11.37	-20.46	Mono-2	Exp100-Sample10.all_Tn5-GTCGGC_BC12133_N04
-13.69	4.94	CD4	Exp100-Sample10.all_Tn5-GTCGGC_BC12167_N03
11.43	19.24	preB	Exp100-Sample10.all_Tn5-GTCGGC_BC12587_N04
10.77	21.53	preB	Exp100-Sample10.all_Tn5-GTCGGC_BC12776_N03
-3.19	-27.55	HSPC	Exp100-Sample10.all_Tn5-GTGGTG_BC00264_N01
-19.78	3.2	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC00955_N01
13.44	-18.8	Mono-2	Exp100-Sample10.all_Tn5-GTGGTG_BC01436_N01
17.88	-17.17	Mono-2	Exp100-Sample10.all_Tn5-GTGGTG_BC01687_N01
16.46	-11.93	Mono-2	Exp100-Sample10.all_Tn5-GTGGTG_BC01782_N01
10.74	15.26	preB	Exp100-Sample10.all_Tn5-GTGGTG_BC01868_N02
3.88	11.87	B	Exp100-Sample10.all_Tn5-GTGGTG_BC01872_N02
11.38	-8.2	Mono-1	Exp100-Sample10.all_Tn5-GTGGTG_BC01978_N01
5.79	-21.84	HSPC	Exp100-Sample10.all_Tn5-GTGGTG_BC02008_N03
0.46	-24.85	HSPC	Exp100-Sample10.all_Tn5-GTGGTG_BC02074_N03
13.93	-21.24	Mono-2	Exp100-Sample10.all_Tn5-GTGGTG_BC02111_N02
-5.11	18.18	CD8	Exp100-Sample10.all_Tn5-GTGGTG_BC02198_N01
30.15	7.12	Ery-late	Exp100-Sample10.all_Tn5-GTGGTG_BC02303_N01
-5.76	27.83	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC02520_N01
-10.48	15.14	CD8	Exp100-Sample10.all_Tn5-GTGGTG_BC02571_N01
27.64	-12.46	Ery-early	Exp100-Sample10.all_Tn5-GTGGTG_BC02783_N03
-10.17	-5.05	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC02784_N02
-11.9	15.51	CD8	Exp100-Sample10.all_Tn5-GTGGTG_BC02928_N02
-17.32	-2.5	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC02932_N01
13.76	-5.54	Mono-1	Exp100-Sample10.all_Tn5-GTGGTG_BC03175_N02
-4.43	28.11	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC03382_N01
-14.34	-2.63	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC03395_N01
-15.17	18.29	CD8	Exp100-Sample10.all_Tn5-GTGGTG_BC03483_N01
21.24	-0.49	CLP	Exp100-Sample10.all_Tn5-GTGGTG_BC03537_N03
-2.29	26.97	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC03579_N01
19.6	-15.35	Mono-2	Exp100-Sample10.all_Tn5-GTGGTG_BC03606_N04
6.57	-18.63	Mono-2	Exp100-Sample10.all_Tn5-GTGGTG_BC04124_N05
20.67	-1.24	CLP	Exp100-Sample10.all_Tn5-GTGGTG_BC04358_N03
14.02	-17.82	Mono-2	Exp100-Sample10.all_Tn5-GTGGTG_BC04416_N02
-8.12	-22.48	pDC	Exp100-Sample10.all_Tn5-GTGGTG_BC04502_N03
-1.93	-27.2	HSPC	Exp100-Sample10.all_Tn5-GTGGTG_BC04648_N04
-15.56	16.96	CD8	Exp100-Sample10.all_Tn5-GTGGTG_BC04662_N01
-19.47	-10.27	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC04734_N02
-14.49	5.37	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC04786_N02
18.1	-6.92	Mono-1	Exp100-Sample10.all_Tn5-GTGGTG_BC04864_N02
-9.81	-22.79	pDC	Exp100-Sample10.all_Tn5-GTGGTG_BC04935_N02
16.45	19.54	preB	Exp100-Sample10.all_Tn5-GTGGTG_BC04977_N03
-4.35	23.89	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC05035_N04
-13.48	-13.31	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC05147_N03
-15.62	5.73	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC05206_N02
-7.56	0.37	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC05242_N01
-8.86	22.31	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC05273_N02
-23.19	-6.92	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC05296_N01
-12.12	17.69	CD8	Exp100-Sample10.all_Tn5-GTGGTG_BC05307_N03
15.23	-17	Mono-2	Exp100-Sample10.all_Tn5-GTGGTG_BC05391_N03
-0.68	-26.4	HSPC	Exp100-Sample10.all_Tn5-GTGGTG_BC05421_N03
-19.06	7.62	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC05448_N02
14.97	-6.46	Mono-1	Exp100-Sample10.all_Tn5-GTGGTG_BC05592_N01
-0.11	28.44	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC05627_N02
7.07	5.57	B	Exp100-Sample10.all_Tn5-GTGGTG_BC05695_N02
-20.09	-7.78	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC05749_N04
-21.2	-14.79	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC06010_N01
-12.53	16.17	CD8	Exp100-Sample10.all_Tn5-GTGGTG_BC06136_N02
11.21	17.14	preB	Exp100-Sample10.all_Tn5-GTGGTG_BC06221_N03
13.59	19.89	preB	Exp100-Sample10.all_Tn5-GTGGTG_BC06279_N03
8.47	4.46	B	Exp100-Sample10.all_Tn5-GTGGTG_BC06284_N03
20.28	-1.11	CLP	Exp100-Sample10.all_Tn5-GTGGTG_BC06299_N01
-6.89	0.45	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC06308_N02
10.29	-17.23	Mono-2	Exp100-Sample10.all_Tn5-GTGGTG_BC06355_N03
19.26	-10.21	Mono-1	Exp100-Sample10.all_Tn5-GTGGTG_BC06387_N01
-8.57	22.22	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC06396_N02
-14.52	-11.76	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC06469_N03
27.58	-4.68	Ery-early	Exp100-Sample10.all_Tn5-GTGGTG_BC06475_N04
-5.99	26.47	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC06501_N02
-23.82	-5.88	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC06506_N03
0.88	19.73	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC06519_N03
-9.22	23.53	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC06547_N02
-17.05	17.91	CD8	Exp100-Sample10.all_Tn5-GTGGTG_BC06634_N03
17.86	17.36	preB	Exp100-Sample10.all_Tn5-GTGGTG_BC06668_N04
-13.36	20.78	CD8	Exp100-Sample10.all_Tn5-GTGGTG_BC06693_N02
-10.78	-1.95	CD8	Exp100-Sample10.all_Tn5-GTGGTG_BC06803_N01
1.66	26.8	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC06824_N03
-10.33	19.93	CD8	Exp100-Sample10.all_Tn5-GTGGTG_BC06888_N03
-15.82	-10.71	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC06912_N01
-4.14	9.87	CD8	Exp100-Sample10.all_Tn5-GTGGTG_BC06922_N04
17.78	-13.71	Mono-2	Exp100-Sample10.all_Tn5-GTGGTG_BC06923_N03
-4.84	26.7	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC06972_N02
-23.82	-12.36	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC07031_N03
19.62	-11.73	Mono-2	Exp100-Sample10.all_Tn5-GTGGTG_BC07086_N03
4.5	-9.54	Mono-1	Exp100-Sample10.all_Tn5-GTGGTG_BC07105_N02
-0.55	20.38	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC07120_N03
-7.83	-13.66	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC07121_N04
20.48	-17.58	Mono-2	Exp100-Sample10.all_Tn5-GTGGTG_BC07153_N04
-17.84	-14.39	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC07177_N01
-25.59	-2.09	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC07190_N02
-4.69	18.46	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC07209_N02
-11.74	-10.91	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC07212_N02
8.79	-1.68	Mono-1	Exp100-Sample10.all_Tn5-GTGGTG_BC07291_N02
-6.7	-12.61	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC07331_N03
-4.01	-6.2	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC07361_N03
-22.31	-8.93	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC07373_N03
10.93	-14.96	Mono-2	Exp100-Sample10.all_Tn5-GTGGTG_BC07401_N03
-0.37	22.5	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC07403_N03
-1.06	19.9	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC07454_N02
-18.64	3.72	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC07468_N03
-1.02	-26.42	HSPC	Exp100-Sample10.all_Tn5-GTGGTG_BC07476_N03
9.87	-7.56	Mono-1	Exp100-Sample10.all_Tn5-GTGGTG_BC07541_N01
16.85	-14.29	Mono-2	Exp100-Sample10.all_Tn5-GTGGTG_BC07738_N02
-0.37	-13.9	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC07768_N02
27.56	-12.69	Ery-early	Exp100-Sample10.all_Tn5-GTGGTG_BC07860_N03
-4.86	-3.85	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC07999_N03
-10.86	10.21	CD8	Exp100-Sample10.all_Tn5-GTGGTG_BC08024_N03
-12.35	13.86	CD8	Exp100-Sample10.all_Tn5-GTGGTG_BC08032_N03
-16.43	0.68	CD8	Exp100-Sample10.all_Tn5-GTGGTG_BC08122_N02
2.77	22.28	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC08141_N04
1.83	22.35	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC08216_N02
19.68	-7.29	Mono-1	Exp100-Sample10.all_Tn5-GTGGTG_BC08309_N03
13.39	20.91	preB	Exp100-Sample10.all_Tn5-GTGGTG_BC08454_N04
-4.71	25.21	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC08460_N04
-14.18	1.69	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC08595_N04
-21.41	-2.35	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC08601_N01
-2.66	28.34	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC08670_N03
-20.6	-8.04	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC08696_N03
-17.05	11.77	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC08754_N04
-18.86	-0.81	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC08909_N03
-22.52	-12.27	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC08984_N03
-1.85	26.7	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC09066_N03
-11.12	-10.05	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC09202_N04
-4.99	26.08	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC09323_N03
0.78	-8.27	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC09336_N04
-3.49	21.1	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC09432_N05
14.96	15.68	preB	Exp100-Sample10.all_Tn5-GTGGTG_BC09526_N03
18.39	-18.73	Mono-2	Exp100-Sample10.all_Tn5-GTGGTG_BC09542_N02
-7.09	26	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC09666_N04
-8.56	6.3	CD8	Exp100-Sample10.all_Tn5-GTGGTG_BC09803_N03
15.95	-16.6	Mono-2	Exp100-Sample10.all_Tn5-GTGGTG_BC09815_N02
-19.24	-13.62	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC09860_N03
-21.78	-13.63	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC10026_N04
-1.28	29.52	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC10148_N02
9.42	-2.26	Mono-1	Exp100-Sample10.all_Tn5-GTGGTG_BC10247_N04
-22.13	-2.38	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC10331_N03
-8.29	-17.85	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC10515_N02
-11.38	2.98	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC10642_N04
-12.61	5.6	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC10761_N03
-19.25	8.4	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC10914_N02
4.2	-0.77	Collision	Exp100-Sample10.all_Tn5-GTGGTG_BC10954_N03
1.93	23.82	NK	Exp100-Sample10.all_Tn5-GTGGTG_BC11152_N05
-22.09	-2.29	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC11645_N03
0.26	-9.12	CD4	Exp100-Sample10.all_Tn5-GTGGTG_BC11793_N05
9.87	-8.11	Mono-1	Exp100-Sample10.all_Tn5-GTGGTG_BC12079_N02
8.32	-14.26	Mono-2	Exp100-Sample10.all_Tn5-GTTAAC_BC00065_N01
10.68	-21.6	Mono-2	Exp100-Sample10.all_Tn5-GTTAAC_BC00248_N02
27.49	-9.64	Ery-early	Exp100-Sample10.all_Tn5-GTTAAC_BC00320_N01
20.07	-0.09	CLP	Exp100-Sample10.all_Tn5-GTTAAC_BC00484_N01
8.01	3.49	B	Exp100-Sample10.all_Tn5-GTTAAC_BC00508_N03
9.69	11.14	preB	Exp100-Sample10.all_Tn5-GTTAAC_BC00632_N04
-6.83	-22.73	pDC	Exp100-Sample10.all_Tn5-GTTAAC_BC00665_N02
10.35	2.34	B	Exp100-Sample10.all_Tn5-GTTAAC_BC00739_N02
-7.2	-9.59	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC00851_N02
10.14	17.41	preB	Exp100-Sample10.all_Tn5-GTTAAC_BC00863_N01
27.27	-11.12	Ery-early	Exp100-Sample10.all_Tn5-GTTAAC_BC01013_N03
17.47	-13.23	Mono-2	Exp100-Sample10.all_Tn5-GTTAAC_BC01069_N02
17.46	-5.12	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC01086_N02
14.23	-17.98	Mono-2	Exp100-Sample10.all_Tn5-GTTAAC_BC01182_N03
0.76	-25.46	HSPC	Exp100-Sample10.all_Tn5-GTTAAC_BC01201_N02
5.9	-28.28	HSPC-ery	Exp100-Sample10.all_Tn5-GTTAAC_BC01331_N02
6.46	16.3	preB	Exp100-Sample10.all_Tn5-GTTAAC_BC01371_N04
6.51	-5.05	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC01392_N02
-8.75	-5.03	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC01476_N01
21.43	2.22	proB	Exp100-Sample10.all_Tn5-GTTAAC_BC01502_N03
-15.32	16.47	CD8	Exp100-Sample10.all_Tn5-GTTAAC_BC01542_N01
-7.23	-4.77	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC01585_N02
30.29	-2.44	Ery-early	Exp100-Sample10.all_Tn5-GTTAAC_BC01643_N02
-20.08	6.35	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC01707_N02
11.12	14.53	preB	Exp100-Sample10.all_Tn5-GTTAAC_BC01798_N03
-9.42	-24.62	pDC	Exp100-Sample10.all_Tn5-GTTAAC_BC01857_N03
-15.78	-15.6	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC01867_N03
15.79	11.93	preB	Exp100-Sample10.all_Tn5-GTTAAC_BC01915_N01
-8.63	17.67	CD8	Exp100-Sample10.all_Tn5-GTTAAC_BC01922_N01
10.53	16.99	preB	Exp100-Sample10.all_Tn5-GTTAAC_BC01959_N02
7.49	-4.15	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC01977_N01
-0.94	26.98	NK	Exp100-Sample10.all_Tn5-GTTAAC_BC01985_N01
-23.17	-8.81	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC02011_N01
-20.08	0.25	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC02049_N02
-19.62	-3.12	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC02143_N01
7.58	8.64	preB	Exp100-Sample10.all_Tn5-GTTAAC_BC02160_N03
-18.11	13.89	CD8	Exp100-Sample10.all_Tn5-GTTAAC_BC02185_N02
13.31	13.35	preB	Exp100-Sample10.all_Tn5-GTTAAC_BC02208_N02
2.15	-2.52	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC02225_N03
-15.71	10.45	CD8	Exp100-Sample10.all_Tn5-GTTAAC_BC02250_N02
5.4	13.33	preB	Exp100-Sample10.all_Tn5-GTTAAC_BC02292_N02
-20.75	5.82	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC02311_N02
0.64	19.52	NK	Exp100-Sample10.all_Tn5-GTTAAC_BC02349_N02
-12.69	-0.05	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC02453_N02
6.02	-9.26	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC02511_N02
-6.4	21.04	CD8	Exp100-Sample10.all_Tn5-GTTAAC_BC02600_N01
-12.6	16.29	CD8	Exp100-Sample10.all_Tn5-GTTAAC_BC02793_N02
18.99	7.77	proB	Exp100-Sample10.all_Tn5-GTTAAC_BC02925_N03
-3.86	7.77	CD8	Exp100-Sample10.all_Tn5-GTTAAC_BC02990_N01
-21.37	-11.82	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC03093_N02
7.88	10.46	preB	Exp100-Sample10.all_Tn5-GTTAAC_BC03103_N02
-4.99	20.6	NK	Exp100-Sample10.all_Tn5-GTTAAC_BC03145_N03
-4.36	22.44	NK	Exp100-Sample10.all_Tn5-GTTAAC_BC03157_N02
6.97	17.95	preB	Exp100-Sample10.all_Tn5-GTTAAC_BC03352_N03
-12.17	13.65	CD8	Exp100-Sample10.all_Tn5-GTTAAC_BC03360_N03
9.72	3.04	B	Exp100-Sample10.all_Tn5-GTTAAC_BC03415_N02
-15.25	7.05	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC03437_N02
-13.6	0.79	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC03513_N03
-8.36	12.6	CD8	Exp100-Sample10.all_Tn5-GTTAAC_BC03609_N02
6.82	-13.5	Mono-2	Exp100-Sample10.all_Tn5-GTTAAC_BC03639_N03
-3.75	20.07	NK	Exp100-Sample10.all_Tn5-GTTAAC_BC03669_N02
-6.73	21.64	NK	Exp100-Sample10.all_Tn5-GTTAAC_BC03673_N02
0.05	25.97	NK	Exp100-Sample10.all_Tn5-GTTAAC_BC03719_N03
-19.03	-15.95	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC03773_N03
9.32	-5.71	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC03777_N01
-11.77	1.45	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC03820_N02
16.78	-12.9	Mono-2	Exp100-Sample10.all_Tn5-GTTAAC_BC03879_N03
-10.56	-12.38	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC03900_N02
-11.85	9.48	CD8	Exp100-Sample10.all_Tn5-GTTAAC_BC03964_N02
8.39	-3	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC03982_N01
4.48	-0.73	Collision	Exp100-Sample10.all_Tn5-GTTAAC_BC03993_N03
-10.71	-13.27	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC04016_N03
-14.45	-2.68	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC04033_N02
-5.93	2.22	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC04045_N03
-5.21	23.83	NK	Exp100-Sample10.all_Tn5-GTTAAC_BC04083_N02
-4.98	-1.61	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC04099_N03
8.82	-18.28	Mono-2	Exp100-Sample10.all_Tn5-GTTAAC_BC04106_N04
14.61	-18.62	Mono-2	Exp100-Sample10.all_Tn5-GTTAAC_BC04164_N03
9.66	12.83	preB	Exp100-Sample10.all_Tn5-GTTAAC_BC04334_N04
10.75	-2.59	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC04422_N01
17.76	-14.94	Mono-2	Exp100-Sample10.all_Tn5-GTTAAC_BC04428_N02
-23.19	-4.51	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC04453_N01
-22.5	-5.15	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC04501_N03
-15.63	9.16	CD8	Exp100-Sample10.all_Tn5-GTTAAC_BC04534_N02
-5.74	17.63	NK	Exp100-Sample10.all_Tn5-GTTAAC_BC04543_N02
8.15	-10.44	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC04580_N05
10.7	-3.13	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC04593_N02
3.83	-1.03	Collision	Exp100-Sample10.all_Tn5-GTTAAC_BC04707_N01
0.16	25.95	NK	Exp100-Sample10.all_Tn5-GTTAAC_BC04833_N02
-4.09	-8.7	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC04845_N04
-25.08	-5.63	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC04916_N03
-0.06	0.42	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC04999_N02
-6.17	-3.65	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC05026_N03
-14.63	-16.58	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC05140_N03
-5.1	22.69	NK	Exp100-Sample10.all_Tn5-GTTAAC_BC05157_N03
-4.04	3.99	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC05529_N03
6.58	-9.21	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC05790_N04
13.65	9.67	preB	Exp100-Sample10.all_Tn5-GTTAAC_BC05842_N03
17.39	-7.1	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC05864_N04
-20.81	-4.25	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC05873_N03
-8.33	9.66	CD8	Exp100-Sample10.all_Tn5-GTTAAC_BC05892_N01
-7.99	-0.64	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC06187_N04
-15.91	1.85	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC06394_N05
-23.69	5.69	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC06598_N03
16.61	-14.33	Mono-2	Exp100-Sample10.all_Tn5-GTTAAC_BC06639_N03
14.23	-5	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC06889_N03
9.95	10.74	preB	Exp100-Sample10.all_Tn5-GTTAAC_BC06986_N01
-8.1	18.53	CD8	Exp100-Sample10.all_Tn5-GTTAAC_BC07059_N03
-5.36	2.42	CD8	Exp100-Sample10.all_Tn5-GTTAAC_BC07287_N02
5.7	-4.19	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC07707_N01
-16.6	-4	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC07932_N01
30.17	7.86	Ery-late	Exp100-Sample10.all_Tn5-GTTAAC_BC08016_N01
29.53	-8.78	Ery-early	Exp100-Sample10.all_Tn5-GTTAAC_BC08095_N01
-12.37	-17.77	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC08258_N02
-19.62	5.51	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC08311_N02
-10.48	2.99	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC08397_N04
-12.55	-13.07	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC08409_N03
-9.68	3.36	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC08438_N04
12.83	-16.44	Mono-2	Exp100-Sample10.all_Tn5-GTTAAC_BC08502_N03
11.98	-10.87	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC08585_N04
13.02	-5.78	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC08610_N03
19.85	4.36	proB	Exp100-Sample10.all_Tn5-GTTAAC_BC08619_N03
-11.44	5.33	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC08634_N03
10.25	10.92	preB	Exp100-Sample10.all_Tn5-GTTAAC_BC08656_N02
30.05	7.14	Ery-late	Exp100-Sample10.all_Tn5-GTTAAC_BC08662_N03
8.46	-6.12	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC08946_N01
-13.02	-0.83	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC09035_N03
-2.26	-6.39	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC09108_N04
-12.07	-1.35	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC09394_N02
28.15	-9.06	Ery-early	Exp100-Sample10.all_Tn5-GTTAAC_BC09474_N03
-1.45	3.84	CD8	Exp100-Sample10.all_Tn5-GTTAAC_BC09670_N03
6.49	4.69	B	Exp100-Sample10.all_Tn5-GTTAAC_BC09751_N01
7.23	-4.58	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC09796_N01
0.21	-11.37	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC09902_N04
7.53	5.16	B	Exp100-Sample10.all_Tn5-GTTAAC_BC09916_N02
1.72	-1.43	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC09938_N03
-7.88	28.1	CD8	Exp100-Sample10.all_Tn5-GTTAAC_BC09940_N01
1.04	27.44	NK	Exp100-Sample10.all_Tn5-GTTAAC_BC10345_N04
28.43	-10.51	Ery-early	Exp100-Sample10.all_Tn5-GTTAAC_BC10478_N02
9.07	18.7	preB	Exp100-Sample10.all_Tn5-GTTAAC_BC10620_N02
-5.39	-11.05	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC10871_N02
5.7	-4.78	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC11017_N02
14.67	-9.08	Mono-2	Exp100-Sample10.all_Tn5-GTTAAC_BC11051_N02
10.32	-16.61	Mono-2	Exp100-Sample10.all_Tn5-GTTAAC_BC11384_N03
6.81	-3.26	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC11537_N02
12.32	6.18	preB	Exp100-Sample10.all_Tn5-GTTAAC_BC11598_N02
19.89	4.9	proB	Exp100-Sample10.all_Tn5-GTTAAC_BC11602_N04
13.19	-6.98	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC11782_N06
27.06	-11.33	Ery-early	Exp100-Sample10.all_Tn5-GTTAAC_BC11798_N03
-0.05	5.44	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC12154_N03
22.1	5.8	proB	Exp100-Sample10.all_Tn5-GTTAAC_BC12201_N02
19.81	5.33	proB	Exp100-Sample10.all_Tn5-GTTAAC_BC12203_N03
11.55	-10.38	Mono-1	Exp100-Sample10.all_Tn5-GTTAAC_BC12450_N03
0.32	0.41	CD4	Exp100-Sample10.all_Tn5-GTTAAC_BC12647_N03
17.5	5.52	proB	Exp100-Sample10.all_Tn5-GTTAAC_BC12669_N03
23.4	5.23	proB	Exp100-Sample10.all_Tn5-GTTTCA_BC00081_N04
27.41	-9.26	Ery-early	Exp100-Sample10.all_Tn5-GTTTCA_BC00143_N01
26.34	-6.81	Ery-early	Exp100-Sample10.all_Tn5-GTTTCA_BC00350_N01
30.27	7.57	Ery-late	Exp100-Sample10.all_Tn5-GTTTCA_BC00371_N01
26.24	-10.15	Ery-early	Exp100-Sample10.all_Tn5-GTTTCA_BC00641_N03
