Cluster ID	About	Gene1	Gene2	Gene3	Gene4	Gene5
SCINH5	Robustness	1.00	1.00	1.00	1.00	1.00
SCINH4	Marker	Hoxb8	Kcnmb2	Hoxb6	Lhx1	Nxph1
SCINH4	Specificity	0.00	0.30	0.30	0.50	1.00
SCINH4	Selectivity	17.00	1.00	1.00	1.00	1.00
SCINH4	Robustness	1.00	1.00	1.00	1.00	1.00
SCINH3	Marker	Serpinb1b	Pax8	Glra1	Rspo1	Plch1
SCINH3	Specificity	0.00	0.60	0.60	1.00	1.00
SCINH3	Selectivity	24.00	1.00	1.00	1.00	1.00
SCINH3	Robustness	1.00	1.00	1.00	1.00	1.00
HBINH9	Marker	Pax2	Nyap2	Hoxb6	Tmem255a	Unc13c
HBINH9	Specificity	0.00	0.10	0.10	0.90	0.90
HBINH9	Selectivity	27.00	1.00	1.00	1.00	1.00
HBINH9	Robustness	1.00	1.00	1.00	1.00	1.00
SCINH2	Marker	Hoxb8	Kcnk3	Glra1	Hoxc6	Hoxb2
SCINH2	Specificity	0.00	0.60	0.70	0.90	0.80
SCINH2	Selectivity	30.00	1.00	1.00	1.00	1.00
SCINH2	Robustness	1.00	1.00	1.00	1.00	1.00
SCGLU1	Marker	Hoxc10	Mab21l2	Glra1	Tlx3	Lhfpl5
SCGLU1	Specificity	0.00	0.50	0.50	0.70	0.70
SCGLU1	Selectivity	17.00	1.00	1.00	1.00	1.00
SCGLU1	Robustness	1.00	1.00	1.00	1.00	1.00
SCGLU2	Marker	Hoxb8	Card10	Hoxa7	Hoxa10	Doc2a
SCGLU2	Specificity	0.00	0.90	0.90	0.90	0.90
SCGLU2	Selectivity	18.00	1.00	1.00	1.00	1.00
SCGLU2	Robustness	1.00	1.00	1.00	1.00	1.00
SCGLU3	Marker	Hoxc8	RP24-236C17.2	Hoxc9	Hoxa10	Ap1s2
SCGLU3	Specificity	0.00	0.20	0.20	0.20	0.40
SCGLU3	Selectivity	24.00	1.00	1.00	1.00	1.00
SCGLU3	Robustness	1.00	1.00	1.00	1.00	1.00
SCGLU4	Marker	Hoxb8	Vsig8	Hoxa9	Hoxa10	D630023F18Rik
SCGLU4	Specificity	0.00	0.70	0.70	0.70	0.70
SCGLU4	Selectivity	28.00	1.00	1.00	1.00	1.00
SCGLU4	Robustness	1.00	1.00	1.00	1.00	1.00
SCGLU5	Marker	Nmu	Hoxb7	Hoxb6	Tlx3	Hoxb2
SCGLU5	Specificity	0.00	0.40	0.70	0.70	0.70
SCGLU5	Selectivity	32.00	1.00	1.00	1.00	1.00
SCGLU5	Robustness	1.00	1.00	1.00	1.00	1.00
SCGLU6	Marker	Grp	Mrap2	Hoxa7	Tlx3	Spint2
SCGLU6	Specificity	0.00	1.00	1.00	1.00	1.00
SCGLU6	Selectivity	19.00	1.00	1.00	1.00	1.00
SCGLU6	Robustness	1.00	1.00	1.00	1.00	1.00
SCGLU7	Marker	Ucn3	Nppc	Glra1	Rapsn	Pde4d
SCGLU7	Specificity	0.00	0.90	0.90	1.00	1.00
SCGLU7	Selectivity	14.00	1.00	1.00	1.00	1.00
SCGLU7	Robustness	1.00	1.00	1.00	1.00	1.00
SCGLU8	Marker	Pcp2	Lbx1	Hoxb6	Relt	Tunar
SCGLU8	Specificity	0.00	0.40	0.60	0.90	0.90
SCGLU8	Selectivity	17.00	1.00	1.00	1.00	1.00
SCGLU8	Robustness	1.00	1.00	1.00	1.00	1.00
SCGLU9	Marker	Nts	Pde11a	Prrxl1	Tlx3	Cpne8
SCGLU9	Specificity	0.00	0.90	0.90	0.90	0.90
SCGLU9	Selectivity	26.00	1.00	1.00	1.00	1.00
SCGLU9	Robustness	1.00	1.00	1.00	1.00	1.00
SCGLU10	Marker	Nts	Pla2g5	Glra1	C1ql3	Resp18
SCGLU10	Specificity	0.00	0.70	1.00	1.00	1.00
SCGLU10	Selectivity	25.00	1.00	1.00	1.00	1.00
SCGLU10	Robustness	1.00	1.00	1.00	1.00	1.00
HBGLU10	Marker	Ebf2	Zmym1	Ebf1	Tshz3	Tunar
HBGLU10	Specificity	0.00	0.90	0.90	0.90	0.90
HBGLU10	Selectivity	21.00	1.00	1.00	1.00	1.00
HBGLU10	Robustness	1.00	1.00	1.00	1.00	1.00
HBGLU3	Marker	Gpr101	Hoxc4	Ebf1	AW551984	Rab9b
HBGLU3	Specificity	0.00	0.10	0.10	0.30	0.30
HBGLU3	Selectivity	17.00	1.00	1.00	1.00	1.00
HBGLU3	Robustness	1.00	1.00	1.00	1.00	1.00
HBGLU2	Marker	Slc17a6	Prlr	Gprasp2	AW551984	Rab9b
HBGLU2	Specificity	0.00	0.40	0.40	0.40	0.40
HBGLU2	Selectivity	14.00	1.00	1.00	1.00	1.00
HBGLU2	Robustness	1.00	1.00	1.00	1.00	1.00
MEGLU2	Marker	Tac1	Trim66	Hap1	Cd83	Rasgrf2
MEGLU2	Specificity	0.00	0.30	0.30	0.30	0.30
MEGLU2	Selectivity	15.00	1.00	1.00	1.00	1.00
MEGLU2	Robustness	1.00	1.00	1.00	1.00	1.00
MEGLU3	Marker	Cartpt	Pou4f2	Foxp2	Ctxn2	Rnd1
MEGLU3	Specificity	0.00	0.80	0.80	0.80	0.80
MEGLU3	Selectivity	10.00	1.00	1.00	1.00	1.00
MEGLU3	Robustness	1.00	1.00	1.00	1.00	1.00
DEGLU5	Marker	Tcf7l2	Cabp7	Htr2c	Gm13205	Gm13629
DEGLU5	Specificity	0.00	1.00	1.00	1.00	1.00
DEGLU5	Selectivity	13.00	1.00	1.00	1.00	1.00
DEGLU5	Robustness	1.00	1.00	1.00	1.00	1.00
MEGLU1	Marker	Syt2	Oscp1	Vamp1	Cd83	Scn1a
MEGLU1	Specificity	0.00	0.60	0.60	0.70	0.70
MEGLU1	Selectivity	14.00	1.00	1.00	1.00	1.00
MEGLU1	Robustness	1.00	1.00	1.00	1.00	1.00
MEGLU7	Marker	Tcf7l2	Coro6	Tpbg	Vstm2b	Plk5
MEGLU7	Specificity	0.00	0.40	0.90	0.90	0.90
MEGLU7	Selectivity	14.00	1.00	1.00	1.00	1.00
MEGLU7	Robustness	1.00	1.00	1.00	1.00	1.00
MEGLU8	Marker	Lhx9	Tfap2d	Adcyap1	Fam84a	Tmem91
MEGLU8	Specificity	0.00	0.10	0.10	0.10	0.30
MEGLU8	Selectivity	22.00	1.00	1.00	1.00	1.00
MEGLU8	Robustness	1.00	1.00	1.00	1.00	1.00
MEGLU9	Marker	Tcf7l2	Zfp239	Cbln2	AW551984	Zfhx4
MEGLU9	Specificity	0.00	0.10	0.10	0.50	0.50
MEGLU9	Selectivity	17.00	1.00	1.00	1.00	1.00
MEGLU9	Robustness	1.00	1.00	1.00	1.00	1.00
MEGLU10	Marker	En1	Ngb	Ndst4	AW551984	Zfhx4
MEGLU10	Specificity	0.00	0.10	0.10	0.10	0.10
MEGLU10	Selectivity	15.00	1.00	1.00	1.00	1.00
MEGLU10	Robustness	1.00	1.00	1.00	1.00	1.00
MEGLU11	Marker	En1	Sema3f	Ndst4	Inadl	Plcxd2
MEGLU11	Specificity	0.00	0.00	0.10	0.10	0.20
MEGLU11	Selectivity	21.00	2.00	1.00	1.00	1.00
MEGLU11	Robustness	1.00	1.00	1.00	1.00	1.00
MBCHO1	Marker	Evx1os	Gm2694	Drd5	Bnc2	Evx1
MBCHO1	Specificity	0.00	0.40	0.40	0.40	1.00
MBCHO1	Selectivity	25.00	1.00	1.00	1.00	1.00
MBCHO1	Robustness	1.00	1.00	1.00	1.00	1.00
MEGLU6	Marker	Npnt	Gpc3	Tmem132c	Kcnd3	Tpd52l1
MEGLU6	Specificity	0.00	0.00	0.20	1.00	1.00
MEGLU6	Selectivity	19.00	2.00	1.00	1.00	1.00
MEGLU6	Robustness	1.00	1.00	1.00	1.00	1.00
MEGLU5	Marker	Barhl1	Myh8	Rorb	Col25a1	Cdh7
MEGLU5	Specificity	0.00	0.00	0.80	1.00	1.00
MEGLU5	Selectivity	16.00	2.00	1.00	1.00	1.00
MEGLU5	Robustness	1.00	1.00	1.00	1.00	1.00
MEGLU4	Marker	Barhl1	Kcnab1	Sorcs1	Col25a1	Cpne9
MEGLU4	Specificity	0.00	1.00	1.00	1.00	1.00
MEGLU4	Selectivity	15.00	1.00	1.00	1.00	1.00
MEGLU4	Robustness	1.00	1.00	1.00	1.00	1.00
CR	Marker	Ndnf	Nhlh2	Trp73	Ankrd35	Lhx5
CR	Specificity	0.00	0.40	1.00	1.00	1.00
CR	Selectivity	6.00	1.00	1.00	1.00	1.00
CR	Robustness	1.00	1.00	1.00	1.00	1.00
DECHO2	Marker	Gm5741	Gng8	Lrrc55	Nwd2	Ccdc155
DECHO2	Specificity	0.00	0.10	1.00	1.00	1.00
DECHO2	Selectivity	28.00	1.00	1.00	1.00	1.00
DECHO2	Robustness	1.00	1.00	1.00	1.00	1.00
HBGLU1	Marker	Pou4f1	Htr5b	Rims4	Gpr88	Gjd2
HBGLU1	Specificity	0.00	0.10	0.60	0.90	1.00
HBGLU1	Selectivity	23.00	1.00	1.00	1.00	1.00
HBGLU1	Robustness	1.00	1.00	1.00	1.00	1.00
DEGLU1	Marker	Synpo2	Adamts15	Prkcd	Ptpn3	Ptpn4
DEGLU1	Specificity	0.00	0.70	1.00	1.00	1.00
DEGLU1	Selectivity	14.00	1.00	1.00	1.00	1.00
DEGLU1	Robustness	1.00	1.00	1.00	1.00	1.00
DEGLU2	Marker	Shox2	Aldh3b2	Ramp3	Rasl11a	Cfap221
DEGLU2	Specificity	0.00	0.10	0.10	0.10	0.10
DEGLU2	Selectivity	19.00	1.00	1.00	1.00	1.00
DEGLU2	Robustness	1.00	1.00	1.00	1.00	1.00
DEGLU3	Marker	Slc17a6	Gbx2	Foxp2	Necab1	Cpne7
DEGLU3	Specificity	0.00	1.00	1.00	1.00	1.00
DEGLU3	Selectivity	10.00	1.00	1.00	1.00	1.00
DEGLU3	Robustness	1.00	1.00	1.00	1.00	1.00
DEGLU4	Marker	Cbln1	Megf11	Cbln4	Wnt4	Lypd6b
DEGLU4	Specificity	0.00	0.50	0.50	0.70	0.70
DEGLU4	Selectivity	14.00	1.00	1.00	1.00	1.00
DEGLU4	Robustness	1.00	1.00	1.00	1.00	1.00
MEINH12	Marker	Lhx1os	Galnt14	Lmo1	Col25a1	Ralyl
MEINH12	Specificity	0.00	0.30	0.60	0.60	0.60
MEINH12	Selectivity	7.00	1.00	1.00	1.00	1.00
MEINH12	Robustness	1.00	1.00	1.00	1.00	1.00
MEINH11	Marker	Sox14	Dmbx1	Chrnb3	Rpp25	Unc13c
MEINH11	Specificity	0.00	0.10	0.10	0.20	0.20
MEINH11	Selectivity	9.00	1.00	1.00	1.00	1.00
MEINH11	Robustness	1.00	1.00	1.00	1.00	1.00
MEINH10	Marker	Otx2	Gabrr2	Cdhr1	Rpp25	Igsf3
MEINH10	Specificity	0.00	1.00	1.00	1.00	1.00
MEINH10	Selectivity	14.00	1.00	1.00	1.00	1.00
MEINH10	Robustness	1.00	1.00	1.00	1.00	1.00
MEINH9	Marker	Otx2	Rd3l	Cbln4	Lypd6	Tmem108
MEINH9	Specificity	0.00	0.50	0.50	0.50	1.00
MEINH9	Selectivity	13.00	1.00	1.00	1.00	1.00
MEINH9	Robustness	1.00	1.00	1.00	1.00	1.00
MEINH5	Marker	Tnnt1	Tnni3	Gata3	Lhx1	Uncx
MEINH5	Specificity	0.00	0.10	1.00	1.00	1.00
MEINH5	Selectivity	15.00	1.00	1.00	1.00	1.00
MEINH5	Robustness	1.00	1.00	1.00	1.00	1.00
MEINH6	Marker	Fibcd1	Mgarp	Lmo1	Vwc2	Npffr1
MEINH6	Specificity	0.00	0.00	0.50	0.50	0.50
MEINH6	Selectivity	20.00	2.00	1.00	1.00	1.00
MEINH6	Robustness	1.00	1.00	1.00	1.00	1.00
MEINH7	Marker	Pax7	Tfap2b	Cdhr1	Rnf152	Zfhx4
MEINH7	Specificity	0.00	0.00	0.50	0.50	0.50
MEINH7	Selectivity	14.00	2.00	1.00	1.00	1.00
MEINH7	Robustness	1.00	1.00	1.00	1.00	1.00
MEINH4	Marker	Lhx1os	Emx2	Gata3	Gad2	Asic1
MEINH4	Specificity	0.00	0.10	0.10	0.10	0.70
MEINH4	Selectivity	9.00	1.00	1.00	1.00	1.00
MEINH4	Robustness	1.00	1.00	1.00	1.00	1.00
MEINH3	Marker	Tal1	Trim66	Gata3	Gad2	Vgf
MEINH3	Specificity	0.00	0.40	0.50	0.50	0.50
MEINH3	Selectivity	12.00	1.00	1.00	1.00	1.00
MEINH3	Robustness	1.00	1.00	1.00	1.00	1.00
HBINH5	Marker	Slc6a5	Pgr	Glra1	Ankrd34b	Ppargc1a
HBINH5	Specificity	0.00	0.20	0.20	0.20	0.20
HBINH5	Selectivity	15.00	1.00	1.00	1.00	1.00
HBINH5	Robustness	1.00	1.00	1.00	1.00	1.00
MEINH2	Marker	Syt2	Nrtn	Smim17	Slc32a1	Kcnab3
MEINH2	Specificity	0.00	0.10	0.10	0.10	0.10
MEINH2	Selectivity	13.00	1.00	1.00	1.00	1.00
MEINH2	Robustness	1.00	1.00	1.00	1.00	1.00
DEINH3	Marker	Syt2	Nfatc2	Smim17	Slc32a1	Tmem130
DEINH3	Specificity	0.00	0.90	1.00	1.00	1.00
DEINH3	Selectivity	10.00	1.00	1.00	1.00	1.00
DEINH3	Robustness	1.00	1.00	1.00	1.00	1.00
TEINH1	Marker	Lhx8	Gbx1	Elfn1	Gad2	Vat1l
TEINH1	Specificity	0.00	0.50	0.50	0.50	0.50
TEINH1	Selectivity	11.00	1.00	1.00	1.00	1.00
TEINH1	Robustness	1.00	1.00	1.00	1.00	1.00
MEINH13	Marker	Pax5	Gabrq	Asb4	AW551984	Vgf
MEINH13	Specificity	0.00	0.90	0.90	0.90	1.00
MEINH13	Selectivity	8.00	1.00	1.00	1.00	1.00
MEINH13	Robustness	1.00	1.00	1.00	1.00	1.00
MEINH8	Marker	Pax7	Gm27199	Asic4	Sphkap	A330102I10Rik
MEINH8	Specificity	0.00	0.10	1.00	1.00	1.00
MEINH8	Selectivity	9.00	1.00	1.00	1.00	1.00
MEINH8	Robustness	1.00	1.00	1.00	1.00	1.00
HBINH1	Marker	Chrna2	Nos1	Sv2c	Egfr	Cacng5
HBINH1	Specificity	0.00	0.70	0.90	0.90	0.90
HBINH1	Selectivity	5.00	1.00	1.00	1.00	1.00
HBINH1	Robustness	1.00	1.00	1.00	0.90	0.90
HBINH3	Marker	Hoxb5	Nhlh2	Zic4	Abhd11os	Hoxb4
HBINH3	Specificity	0.00	0.60	1.00	1.00	1.00
HBINH3	Selectivity	3.00	1.00	1.00	1.00	1.00
HBINH3	Robustness	1.00	1.00	1.00	1.00	1.00
HBINH4	Marker	Ebf3	Sema3a	Esrrg	Hoxa3	Tmtc4
HBINH4	Specificity	0.00	0.20	0.40	0.80	1.00
HBINH4	Selectivity	14.00	1.00	1.00	1.00	1.00
HBINH4	Robustness	1.00	1.00	1.00	1.00	1.00
HBINH6	Marker	Nxph4	Tmem72	Gpr139	Igf1	Nkx6-1
HBINH6	Specificity	0.00	0.40	0.40	0.40	0.40
HBINH6	Selectivity	17.00	1.00	1.00	1.00	1.00
HBINH6	Robustness	1.00	1.00	1.00	1.00	1.00
HBINH2	Marker	Irs4	Tfap2b	Cbln4	Amigo2	1700003F12Rik
HBINH2	Specificity	0.00	0.10	0.10	0.10	0.10
HBINH2	Selectivity	27.00	1.00	1.00	1.00	1.00
HBINH2	Robustness	1.00	1.00	1.00	1.00	1.00
HBCHO1	Marker	St8sia6	Adgrg2	Mdga1	Lama1	Spint1
HBCHO1	Specificity	0.00	0.10	0.60	0.60	0.60
HBCHO1	Selectivity	25.00	1.00	1.00	1.00	1.00
HBCHO1	Robustness	1.00	1.00	1.00	1.00	1.00
HBCHO2	Marker	Gpx2	Defa24	AF529169	Hoxb3	Fam131c
HBCHO2	Specificity	0.00	0.00	0.00	0.10	0.30
HBCHO2	Selectivity	27.00	1.00	1.00	1.00	1.00
HBCHO2	Robustness	1.00	1.00	1.00	1.00	1.00
HBGLU4	Marker	Gpx2	Olfm2	Klhl1	Hoxb3	Kctd9
HBGLU4	Specificity	0.00	0.30	0.30	0.40	0.40
HBGLU4	Selectivity	15.00	1.00	1.00	1.00	1.00
HBGLU4	Robustness	1.00	1.00	1.00	1.00	1.00
HBGLU5	Marker	Irx2	Ly6d	Fcmr	Fat2	Irx1
HBGLU5	Specificity	0.00	0.30	0.30	0.30	0.30
HBGLU5	Selectivity	21.00	1.00	1.00	1.00	1.00
HBGLU5	Robustness	1.00	1.00	1.00	1.00	1.00
HBGLU6	Marker	Irx2	Hoxc5	Esrrg	Rnf152	Sgcg
HBGLU6	Specificity	0.00	0.50	0.50	0.80	0.80
HBGLU6	Selectivity	25.00	1.00	1.00	1.00	1.00
HBGLU6	Robustness	1.00	1.00	1.00	1.00	1.00
HBGLU7	Marker	Irx2	Mreg	Esrrg	Rnf152	Ucma
HBGLU7	Specificity	0.00	0.50	0.50	0.50	0.50
HBGLU7	Selectivity	19.00	1.00	1.00	1.00	1.00
HBGLU7	Robustness	1.00	1.00	1.00	1.00	1.00
HBGLU8	Marker	Spp1	Cyp2s1	Nefh	Gm26673	Cpne9
HBGLU8	Specificity	0.00	0.00	0.00	0.00	0.00
HBGLU8	Selectivity	18.00	1.00	1.00	1.00	1.00
HBGLU8	Robustness	1.00	1.00	1.00	1.00	1.00
HBGLU9	Marker	Kcng4	Htr1b	Glra1	Scn4b	Kcnab3
HBGLU9	Specificity	0.00	0.30	0.30	0.80	0.80
HBGLU9	Selectivity	16.00	1.00	1.00	1.00	1.00
HBGLU9	Robustness	1.00	1.00	1.00	1.00	1.00
HBINH7	Marker	Slc6a5	Stac2	Vamp1	Steap2	Sgpp2
HBINH7	Specificity	0.00	0.40	0.40	0.40	0.40
HBINH7	Selectivity	15.00	1.00	1.00	1.00	1.00
HBINH7	Robustness	1.00	1.00	1.00	1.00	1.00
HBINH8	Marker	Slc6a5	Lingo4	Sall3	Hoxb3	Hcn1
HBINH8	Specificity	0.00	0.00	0.00	0.20	0.20
HBINH8	Selectivity	32.00	1.00	1.00	1.00	1.00
HBINH8	Robustness	1.00	1.00	1.00	1.00	1.00
SCINH1	Marker	Crabp1	Tnfrsf13c	Sall3	Gm5	Kcnab3
SCINH1	Specificity	0.00	0.10	0.10	0.60	0.60
SCINH1	Selectivity	31.00	1.00	1.00	1.00	1.00
SCINH1	Robustness	1.00	1.00	1.00	1.00	1.00
CBINH2	Marker	Slc6a5	Grm2	Lgi2	Steap2	Nrg1
CBINH2	Specificity	0.00	0.30	0.50	0.50	0.50
CBINH2	Selectivity	15.00	1.00	1.00	1.00	1.00
CBINH2	Robustness	1.00	1.00	1.00	1.00	1.00
MEINH1	Marker	Pvalb	Il22	Kit	Sla	Hcn1
MEINH1	Specificity	0.00	0.00	0.20	0.20	0.60
MEINH1	Selectivity	6.00	2.00	1.00	1.00	1.00
MEINH1	Robustness	1.00	1.00	1.00	1.00	1.00
CBINH1	Marker	Pvalb	Cnpy1	Clmp	Ntn1	Trim67
CBINH1	Specificity	0.00	0.50	0.50	0.50	0.50
CBINH1	Selectivity	8.00	1.00	1.00	1.00	1.00
CBINH1	Robustness	1.00	1.00	1.00	1.00	1.00
CBPC	Marker	Pcp2	Slc1a6	Car8	Ppp1r17	Atp2a3
CBPC	Specificity	0.00	1.00	1.00	1.00	1.00
CBPC	Selectivity	10.00	1.00	1.00	1.00	1.00
CBPC	Robustness	1.00	1.00	1.00	1.00	1.00
CBGRC	Marker	Cbln3	Gabra6	Pax6	Grm4	Nrep
CBGRC	Specificity	0.00	1.00	1.00	1.00	1.00
CBGRC	Selectivity	4.00	1.00	1.00	1.00	1.00
CBGRC	Robustness	1.00	1.00	1.00	1.00	1.00
CBNBL2	Marker	Neurod1	Mia	Pax6	Ppp1r14c	Nrep
CBNBL2	Specificity	0.00	1.00	1.00	1.00	1.00
CBNBL2	Selectivity	4.00	1.00	1.00	1.00	1.00
CBNBL2	Robustness	1.00	1.00	1.00	1.00	1.00
CBNBL1	Marker	Sln	Lmx1a	Pkib	Inadl	Trpc3
CBNBL1	Specificity	0.00	0.50	1.00	1.00	1.00
CBNBL1	Selectivity	7.00	1.00	1.00	1.00	1.00
CBNBL1	Robustness	1.00	1.00	1.00	1.00	1.00
SZNBL	Marker	2810417H13Rik	Cdca7	Rrm2	Ube2c	Top2a
SZNBL	Specificity	0.00	1.00	1.00	1.00	1.00
SZNBL	Selectivity	7.00	1.00	1.00	1.00	1.00
SZNBL	Robustness	1.00	1.00	1.00	1.00	1.00
OBNBL1	Marker	Doc2g	Ms4a15	Cdhr1	Shisa3	Atp6ap1l
OBNBL1	Specificity	0.00	0.90	0.90	1.00	1.00
OBNBL1	Selectivity	12.00	1.00	1.00	1.00	1.00
OBNBL1	Robustness	1.00	1.00	1.00	1.00	1.00
OBNBL2	Marker	Ly6g6e	Eomes	Nmb	Casp1	Tmem132d
OBNBL2	Specificity	0.00	1.00	1.00	1.00	1.00
OBNBL2	Selectivity	6.00	1.00	1.00	1.00	1.00
OBNBL2	Robustness	1.00	1.00	1.00	1.00	1.00
ENT1	Marker	Gal	Moxd1	Tmem255b	Tmc3	Kcnj5
ENT1	Specificity	0.00	0.30	0.40	0.60	0.80
ENT1	Selectivity	25.00	1.00	1.00	1.00	1.00
ENT1	Robustness	1.00	1.00	1.00	1.00	1.00
ENT2	Marker	Cartpt	Bglap	Ass1	Camp	Tes
ENT2	Specificity	0.00	0.50	0.60	0.60	0.60
ENT2	Selectivity	34.00	1.00	1.00	1.00	1.00
ENT2	Robustness	1.00	1.00	1.00	1.00	1.00
ENT3	Marker	Cox8b	Anxa11	Ass1	S100a4	Tes
ENT3	Specificity	0.00	0.00	0.00	0.00	0.00
ENT3	Selectivity	34.00	1.00	1.00	1.00	1.00
ENT3	Robustness	1.00	1.00	1.00	1.00	1.00
ENT4	Marker	Hoxa5	Myc	Dmkn	Dsc3	mt-Atp6
ENT4	Specificity	0.00	0.10	0.10	0.10	0.10
ENT4	Selectivity	24.00	1.00	1.00	1.00	1.00
ENT4	Robustness	1.00	1.00	1.00	1.00	1.00
ENT5	Marker	Hoxa5	Hspb7	Dmkn	Dsc3	Hmx2
ENT5	Specificity	0.00	0.80	0.80	0.80	0.80
ENT5	Selectivity	22.00	1.00	1.00	1.00	1.00
ENT5	Robustness	1.00	1.00	1.00	1.00	1.00
ENT6	Marker	Htr2b	Tm4sf4	mt-Nd3	mt-Co3	mt-Co2
ENT6	Specificity	0.00	0.90	0.90	0.90	1.00
ENT6	Selectivity	18.00	1.00	1.00	1.00	1.00
ENT6	Robustness	1.00	1.00	1.00	1.00	1.00
ENT7	Marker	Cckar	Nxph2	Gna14	Pgam1	Tbx3
ENT7	Specificity	0.00	0.10	0.10	0.10	0.10
ENT7	Selectivity	32.00	1.00	1.00	1.00	1.00
ENT7	Robustness	1.00	1.00	1.00	1.00	1.00
ENT8	Marker	Ucn3	Phox2a	Myl1	AW551984	Etaa1os
ENT8	Specificity	0.00	0.00	0.50	0.70	0.70
ENT8	Selectivity	36.00	2.00	1.00	1.00	1.00
ENT8	Robustness	1.00	1.00	1.00	1.00	1.00
ENT9	Marker	P2rx2	Krt19	Myl1	Adgrg6	Ano2
ENT9	Specificity	0.00	0.10	0.50	1.00	1.00
ENT9	Selectivity	28.00	1.00	1.00	1.00	1.00
ENT9	Robustness	1.00	1.00	1.00	1.00	1.00
SYNOR1	Marker	Dbh	Procr	Ntrk1	Htr3b	Gnb3
SYNOR1	Specificity	0.00	0.60	0.60	0.60	0.60
SYNOR1	Selectivity	19.00	1.00	1.00	1.00	1.00
SYNOR1	Robustness	1.00	1.00	1.00	1.00	1.00
SYNOR2	Marker	Dbh	Pi16	Hand1	Arg1	Fst
SYNOR2	Specificity	0.00	0.10	0.10	0.10	0.10
SYNOR2	Selectivity	23.00	1.00	1.00	1.00	1.00
SYNOR2	Robustness	1.00	1.00	1.00	1.00	1.00
SYNOR3	Marker	Slc6a2	Arhgap36	Sctr	Tspan8	Gpat2
SYNOR3	Specificity	0.00	0.40	0.40	0.40	0.40
SYNOR3	Selectivity	25.00	1.00	1.00	1.00	1.00
SYNOR3	Robustness	1.00	1.00	1.00	1.00	1.00
SYNOR4	Marker	Slc6a2	Fbp2	Ntrk1	Edn3	Gnb3
SYNOR4	Specificity	0.00	0.30	0.30	0.30	0.30
SYNOR4	Selectivity	24.00	1.00	1.00	1.00	1.00
SYNOR4	Robustness	1.00	1.00	1.00	1.00	1.00
SYNOR5	Marker	Areg	Ltk	Omp	Htr3b	Colq
SYNOR5	Specificity	0.00	0.30	0.30	0.40	0.90
SYNOR5	Selectivity	17.00	1.00	1.00	1.00	1.00
SYNOR5	Robustness	1.00	1.00	1.00	1.00	1.00
SYCHO2	Marker	Areg	C1qtnf7	Slc18a3	Htr3b	Fam89a
SYCHO2	Specificity	0.00	0.50	0.50	0.50	0.50
SYCHO2	Selectivity	38.00	1.00	1.00	1.00	1.00
SYCHO2	Robustness	1.00	1.00	1.00	1.00	1.00
SYCHO1	Marker	Vip	Cited1	Slc18a3	Dkk1	Gm2990
SYCHO1	Specificity	0.00	0.10	0.10	0.10	0.10
SYCHO1	Selectivity	32.00	1.00	1.00	1.00	1.00
SYCHO1	Robustness	1.00	1.00	1.00	1.00	1.00
PSPEP8	Marker	Rarres1	Slc34a2	Tmem54	Plcd4	Gcnt2
PSPEP8	Specificity	0.00	0.10	0.10	0.20	0.30
PSPEP8	Selectivity	17.00	1.00	1.00	1.00	1.00
PSPEP8	Robustness	1.00	1.00	1.00	1.00	1.00
PSPEP7	Marker	Rarres1	Gpsm3	Prdm12	Prph	Gcnt2
PSPEP7	Specificity	0.00	0.50	1.00	1.00	1.00
PSPEP7	Selectivity	14.00	1.00	1.00	1.00	1.00
PSPEP7	Robustness	1.00	1.00	1.00	1.00	1.00
PSPEP6	Marker	Gfra3	Angpt4	Runx1	Prph	Gcnt2
PSPEP6	Specificity	0.00	0.40	0.40	0.40	0.40
PSPEP6	Selectivity	19.00	1.00	1.00	1.00	1.00
PSPEP6	Robustness	1.00	1.00	1.00	1.00	1.00
PSPEP5	Marker	Trpv1	Fam169b	Aqp1	Pirt	Kcns3
PSPEP5	Specificity	0.00	0.60	0.90	0.90	0.90
PSPEP5	Selectivity	23.00	1.00	1.00	1.00	1.00
PSPEP5	Robustness	1.00	1.00	1.00	1.00	1.00
PSPEP2	Marker	Calca	Gm13582	Ptgir	Pou4f3	Fam150b
PSPEP2	Specificity	0.00	0.10	0.10	0.10	0.10
PSPEP2	Selectivity	30.00	1.00	1.00	1.00	1.00
PSPEP2	Robustness	1.00	1.00	1.00	1.00	1.00
PSPEP4	Marker	Calca	6030408B16Rik	Samsn1	Pou4f3	Timeless
PSPEP4	Specificity	0.00	0.70	1.00	1.00	1.00
PSPEP4	Selectivity	23.00	1.00	1.00	1.00	1.00
PSPEP4	Robustness	1.00	1.00	1.00	1.00	1.00
PSPEP3	Marker	Calca	Traf3ip3	Prdm12	Itk	Fam150b
PSPEP3	Specificity	0.00	0.80	0.80	0.90	0.90
PSPEP3	Selectivity	19.00	1.00	1.00	1.00	1.00
PSPEP3	Robustness	1.00	1.00	1.00	1.00	1.00
PSPEP1	Marker	Calca	Asic3	Ptgir	Pou4f3	Gm13425
PSPEP1	Specificity	0.00	0.10	0.40	0.60	0.60
PSPEP1	Selectivity	25.00	1.00	1.00	1.00	1.00
PSPEP1	Robustness	1.00	1.00	1.00	1.00	1.00
PSNF3	Marker	Trappc3l	Ptgfr	Ahnak2	D930028M14Rik	Avil
PSNF3	Specificity	0.00	0.20	0.20	0.20	0.20
